question_id	question_rank	document_title	paragraph_index
1	0	Tuvalu	49
1	1	Bill_%26_Melinda_Gates_Foundation	6
1	2	Genome	8
1	3	Rajasthan	9
1	4	Near_East	57
4	0	Association_football	2
4	1	Bras%C3%ADlia	8
4	2	Saint_Helena	64
4	3	Dog	52
4	4	Nanjing	54
7	0	Czech_language	21
7	1	The_Blitz	4
7	2	Dominican_Order	35
7	3	High-definition_television	11
7	4	Translation	22
10	0	Symbiosis	8
10	1	Education	26
10	2	Arnold_Schwarzenegger	69
10	3	Josip_Broz_Tito	52
10	4	Unicode	18
13	0	Mali	10
13	1	San_Diego	16
13	2	Chihuahua_(state)	39
13	3	Alaska	8
13	4	American_Idol	8
16	0	Atlantic_City,_New_Jersey	24
16	1	Oklahoma_City	11
16	2	Oklahoma	2
16	3	Great_Plains	5
16	4	Detroit	1
19	0	Data_compression	19
19	1	YouTube	10
19	2	LaserDisc	48
19	3	YouTube	16
19	4	BeiDou_Navigation_Satellite_System	14
22	0	Renewable_energy_commercialization	23
22	1	Professional_wrestling	21
22	2	God	23
22	3	Beyoncé	50
22	4	Aspirated_consonant	1
25	0	Nigeria	29
25	1	Asphalt	9
25	2	Asphalt	32
25	3	Royal_Dutch_Shell	7
25	4	Asphalt	15
28	0	Dog	10
28	1	Dog	12
28	2	Dog	0
28	3	New_Delhi	50
28	4	Guam	24
31	0	Aspirated_consonant	33
31	1	Aspirated_consonant	12
31	2	Digestion	9
31	3	Windows_8	6
31	4	Asphalt	4
34	0	The_Bronx	50
34	1	New_York_City	147
34	2	New_York_City	0
34	3	New_York_City	140
34	4	New_York_City	55
37	0	Insect	14
37	1	Prime_minister	1
37	2	Beer	10
37	3	Prime_minister	31
37	4	Electric_motor	31
40	0	Miami	32
40	1	Seattle	32
40	2	Detroit	31
40	3	Hyderabad	4
40	4	Houston	8
43	0	University	24
43	1	Heresy	27
43	2	Middle_Ages	4
43	3	Late_Middle_Ages	3
43	4	Middle_Ages	6
46	0	Sexual_orientation	9
46	1	Idealism	18
46	2	Alaska	26
46	3	Materialism	13
46	4	Time	0
49	0	Federal_Bureau_of_Investigation	32
49	1	Montana	42
49	2	Nonprofit_organization	6
49	3	Slavs	21
49	4	Copyright_infringement	15
52	0	Association_football	2
52	1	Bras%C3%ADlia	8
52	2	Saint_Helena	64
52	3	Dog	52
52	4	Nanjing	54
55	0	Universal_Studios	30
55	1	IPod	28
55	2	Universal_Studios	0
55	3	Universal_Studios	29
55	4	Universal_Studios	37
58	0	Renewable_energy_commercialization	23
58	1	Professional_wrestling	21
58	2	God	23
58	3	Beyoncé	50
58	4	Aspirated_consonant	1
61	0	National_Archives_and_Records_Administration	12
61	1	National_Archives_and_Records_Administration	17
61	2	Gramophone_record	21
61	3	Gramophone_record	11
61	4	National_Archives_and_Records_Administration	16
64	0	Russian_Soviet_Federative_Socialist_Republic	16
64	1	Russian_Soviet_Federative_Socialist_Republic	25
64	2	Russian_Soviet_Federative_Socialist_Republic	2
64	3	Russian_Soviet_Federative_Socialist_Republic	18
64	4	Russian_Soviet_Federative_Socialist_Republic	17
67	0	Association_football	2
67	1	Bras%C3%ADlia	8
67	2	Saint_Helena	64
67	3	Dog	52
67	4	Nanjing	54
70	0	Web_browser	21
70	1	History_of_science	62
70	2	Pub	1
70	3	Modern_history	17
70	4	Orthodox_Judaism	2
73	0	Friedrich_Hayek	49
73	1	Aspirated_consonant	31
73	2	Czech_language	21
73	3	Treaty	32
73	4	Labour_Party_(UK)	18
76	0	Compact_disc	15
76	1	Nanjing	39
76	2	USB	16
76	3	Electric_motor	21
76	4	Film_speed	24
79	0	American_Idol	51
79	1	Child_labour	10
79	2	Classical_music	59
79	3	Child_labour	12
79	4	2008_Sichuan_earthquake	55
82	0	Computer_security	17
82	1	Canadian_Armed_Forces	41
82	2	Kathmandu	23
82	3	Computer_security	12
82	4	Internet_service_provider	10
85	0	Aspirated_consonant	8
85	1	Catalan_language	74
85	2	Estonian_language	2
85	3	Aspirated_consonant	18
85	4	Old_English	6
88	0	Affirmative_action_in_the_United_States	25
88	1	Affirmative_action_in_the_United_States	47
88	2	A_cappella	19
88	3	New_York_City	18
88	4	Federal_Bureau_of_Investigation	39
91	0	Great_power	19
91	1	Capital_punishment_in_the_United_States	23
91	2	Cyprus	42
91	3	Cyprus	37
91	4	European_Central_Bank	24
94	0	Catalan_language	59
94	1	Serbo-Croatian	21
94	2	Greece	58
94	3	Oklahoma	37
94	4	Serbo-Croatian	20
97	0	Buddhism	64
97	1	Idealism	4
97	2	Nutrition	39
97	3	Emotion	1
97	4	Supreme_court	4
100	0	Qing_dynasty	0
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	2	Qing_dynasty	50
100	3	Zhejiang	9
100	4	Qing_dynasty	61
103	0	Czech_language	21
103	1	Richmond,_Virginia	36
103	2	Montana	35
103	3	The_Blitz	4
103	4	Seven_Years%27_War	60
106	0	Gymnastics	21
106	1	Mesozoic	2
106	2	American_Idol	92
106	3	Alps	19
106	4	Tucson,_Arizona	33
109	0	Sino-Tibetan_relations_during_the_Ming_dynasty	15
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	35
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	60
109	3	Sino-Tibetan_relations_during_the_Ming_dynasty	48
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	34
112	0	Southampton	89
112	1	Queen_(band)	42
112	2	Queen_(band)	41
112	3	Queen_(band)	33
112	4	Queen_Victoria	36
115	0	Dog	41
115	1	Symbiosis	2
115	2	Geological_history_of_Earth	22
115	3	Comcast	9
115	4	Indigenous_peoples_of_the_Americas	5
118	0	Slavs	30
118	1	Vacuum	20
118	2	Jehovah%27s_Witnesses	24
118	3	Genome	20
118	4	Animal	12
121	0	Zinc	2
121	1	Zinc	31
121	2	Zinc	21
121	3	Zinc	8
121	4	Zinc	6
124	0	British_Empire	27
124	1	The_Blitz	17
124	2	British_Empire	51
124	3	The_Blitz	68
124	4	Bird_migration	8
127	0	Lighting	50
127	1	Education	24
127	2	Aircraft_carrier	24
127	3	Rajasthan	9
127	4	To_Kill_a_Mockingbird	60
130	0	Bird	54
130	1	Bird_migration	52
130	2	Bird	24
130	3	Bird	19
130	4	Bird	2
133	0	Southampton	12
133	1	Umayyad_Caliphate	0
133	2	Detroit	7
133	3	War_on_Terror	29
133	4	Edmund_Burke	28
136	0	Electric_motor	25
136	1	Federal_Bureau_of_Investigation	32
136	2	Montana	42
136	3	Nonprofit_organization	6
136	4	Royal_assent	9
139	0	Steven_Spielberg	36
139	1	Alexander_Graham_Bell	6
139	2	To_Kill_a_Mockingbird	10
139	3	Buddhism	6
139	4	John_von_Neumann	62
142	0	Association_football	2
142	1	Bras%C3%ADlia	8
142	2	Saint_Helena	64
142	3	Dog	52
142	4	Nanjing	54
145	0	Buddhism	114
145	1	Buddhism	109
145	2	Sino-Tibetan_relations_during_the_Ming_dynasty	54
145	3	Tibet	30
145	4	Sino-Tibetan_relations_during_the_Ming_dynasty	3
148	0	The_Times	1
148	1	The_Times	38
148	2	The_Times	2
148	3	The_Times	46
148	4	Karl_Popper	28
151	0	Association_football	2
151	1	Bras%C3%ADlia	8
151	2	Saint_Helena	64
151	3	Dog	52
151	4	Nanjing	54
154	0	Database	9
154	1	Richard_Feynman	17
154	2	Database	21
154	3	Super_Nintendo_Entertainment_System	9
154	4	Gene	23
157	0	Quran	23
157	1	Textual_criticism	24
157	2	Phonology	4
157	3	Textual_criticism	14
157	4	Textual_criticism	17
160	0	Nanjing	40
160	1	Bras%C3%ADlia	21
160	2	St._John%27s,_Newfoundland_and_Labrador	29
160	3	North_Carolina	60
160	4	Utrecht	17
163	0	Oklahoma	5
163	1	North_Carolina	1
163	2	Tucson,_Arizona	6
163	3	Geography_of_the_United_States	6
163	4	Animal	4
166	0	Comics	6
166	1	New_York_City	0
166	2	New_York_City	130
166	3	New_York_City	82
166	4	New_York_City	107
169	0	Muammar_Gaddafi	68
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	59
169	3	Muammar_Gaddafi	61
169	4	Muammar_Gaddafi	56
172	0	Dell	40
172	1	National_Archives_and_Records_Administration	3
172	2	Czech_language	21
172	3	Anthropology	33
172	4	Edmund_Burke	1
175	0	Financial_crisis_of_2007%E2%80%9308	57
175	1	Szlachta	59
175	2	Szlachta	24
175	3	Pesticide	3
175	4	Protestantism	56
178	0	New_Haven,_Connecticut	65
178	1	New_Haven,_Connecticut	62
178	2	New_Haven,_Connecticut	41
178	3	New_Haven,_Connecticut	3
178	4	New_Haven,_Connecticut	7
181	0	Lancashire	8
181	1	Southampton	24
181	2	Lancashire	16
181	3	Estonia	27
181	4	Lancashire	7
184	0	Russian_Soviet_Federative_Socialist_Republic	2
184	1	Russian_Soviet_Federative_Socialist_Republic	14
184	2	Armenia	19
184	3	Russian_Soviet_Federative_Socialist_Republic	16
184	4	Russian_Soviet_Federative_Socialist_Republic	28
187	0	On_the_Origin_of_Species	36
187	1	Catalan_language	76
187	2	Catalan_language	71
187	3	Catalan_language	73
187	4	Catalan_language	30
190	0	Cotton	7
190	1	Cotton	15
190	2	Cotton	16
190	3	Cotton	17
190	4	Cotton	8
193	0	Plymouth	58
193	1	Religion_in_ancient_Rome	77
193	2	Plymouth	42
193	3	Adult_contemporary_music	50
193	4	Alaska	44
196	0	Hokkien	1
196	1	Tibet	7
196	2	Multiracial_American	26
196	3	Korean_War	3
196	4	Korean_War	11
199	0	San_Diego	27
199	1	Arena_Football_League	34
199	2	San_Diego	29
199	3	San_Diego	3
199	4	San_Diego	45
202	0	Adolescence	11
202	1	Identity_(social_science)	5
202	2	Adolescence	26
202	3	Identity_(social_science)	18
202	4	Buddhism	28
205	0	Alexander_Graham_Bell	31
205	1	Alexander_Graham_Bell	33
205	2	Alexander_Graham_Bell	43
205	3	Alexander_Graham_Bell	32
205	4	Westminster_Abbey	33
208	0	Charleston,_South_Carolina	31
208	1	New_Delhi	33
208	2	Alaska	46
208	3	Somerset	25
208	4	Nanjing	52
211	0	Montana	3
211	1	Iranian_languages	8
211	2	Insect	31
211	3	Dutch_language	11
211	4	Iranian_languages	9
214	0	Tennessee	35
214	1	MP3	34
214	2	Institute_of_technology	59
214	3	John_von_Neumann	35
214	4	Houston	44
217	0	Royal_Institute_of_British_Architects	20
217	1	Gothic_architecture	0
217	2	Neoclassical_architecture	19
217	3	University_of_Notre_Dame	35
217	4	Cubism	30
220	0	Association_football	2
220	1	Bras%C3%ADlia	8
220	2	Saint_Helena	64
220	3	Dog	52
220	4	Nanjing	54
223	0	Dell	40
223	1	Czech_language	21
223	2	The_Blitz	4
223	3	Crucifixion_of_Jesus	19
223	4	Korean_War	45
226	0	Southampton	38
226	1	The_Times	34
226	2	Sony_Music_Entertainment	7
226	3	House_music	22
226	4	Daylight_saving_time	26
229	0	Crucifixion_of_Jesus	8
229	1	Crucifixion_of_Jesus	1
229	2	Christian	10
229	3	Crucifixion_of_Jesus	3
229	4	Crucifixion_of_Jesus	20
232	0	Neolithic	1
232	1	Materialism	6
232	2	Pitch_(music)	5
232	3	BeiDou_Navigation_Satellite_System	12
232	4	American_Idol	69
235	0	List_of_numbered_streets_in_Manhattan	0
235	1	Nintendo_Entertainment_System	7
235	2	Nanjing	25
235	3	Phonology	8
235	4	Montevideo	13
238	0	Southampton	89
238	1	Queen_(band)	42
238	2	Queen_(band)	41
238	3	Queen_(band)	33
238	4	Queen_Victoria	36
241	0	USB	15
241	1	USB	21
241	2	USB	8
241	3	USB	22
241	4	USB	38
244	0	British_Isles	28
244	1	British_Isles	25
244	2	Presbyterianism	22
244	3	British_Isles	24
244	4	Federalism	33
247	0	Association_football	2
247	1	Bras%C3%ADlia	8
247	2	Saint_Helena	64
247	3	Dog	52
247	4	Nanjing	54
250	0	Cyprus	41
250	1	Madonna_(entertainer)	4
250	2	Plymouth	78
250	3	Antarctica	39
250	4	John_von_Neumann	4
253	0	Textual_criticism	6
253	1	Textual_criticism	1
253	2	Old_English	5
253	3	Translation	11
253	4	Translation	25
256	0	Aspirated_consonant	13
256	1	Institute_of_technology	59
256	2	Affirmative_action_in_the_United_States	39
256	3	Eton_College	10
256	4	Houston	44
259	0	Association_football	2
259	1	Bras%C3%ADlia	8
259	2	Saint_Helena	64
259	3	Dog	52
259	4	Nanjing	54
262	0	Karl_Popper	21
262	1	Gene	4
262	2	Emotion	39
262	3	Arnold_Schwarzenegger	69
262	4	Group_(mathematics)	6
265	0	Renewable_energy_commercialization	23
265	1	Professional_wrestling	21
265	2	God	23
265	3	Beyoncé	50
265	4	Aspirated_consonant	1
268	0	Presbyterianism	26
268	1	Avicenna	25
268	2	Infection	7
268	3	Computer_security	17
268	4	Computer_security	19
271	0	Mexico_City	0
271	1	Mexico_City	65
271	2	Mexico_City	24
271	3	Mexico_City	73
271	4	Mexico_City	12
274	0	Association_football	2
274	1	Bras%C3%ADlia	8
274	2	Saint_Helena	64
274	3	Dog	52
274	4	Nanjing	54
277	0	Association_football	2
277	1	Bras%C3%ADlia	8
277	2	Saint_Helena	64
277	3	Dog	52
277	4	Nanjing	54
280	0	Association_football	2
280	1	Bras%C3%ADlia	8
280	2	Saint_Helena	64
280	3	Dog	52
280	4	Nanjing	54
283	0	Detroit	38
283	1	Detroit	39
283	2	Detroit	2
283	3	Detroit	78
283	4	Detroit	53
286	0	East_India_Company	28
286	1	Dutch_Republic	15
286	2	East_India_Company	24
286	3	East_India_Company	30
286	4	History_of_India	64
289	0	Cyprus	41
289	1	Madonna_(entertainer)	4
289	2	Plymouth	78
289	3	Antarctica	39
289	4	John_von_Neumann	4
292	0	North_Carolina	54
292	1	Raleigh,_North_Carolina	9
292	2	Atlantic_City,_New_Jersey	0
292	3	North_Carolina	52
292	4	Charleston,_South_Carolina	0
295	0	Antarctica	3
295	1	Multiracial_American	1
295	2	Biodiversity	20
295	3	Alaska	44
295	4	Namibia	30
298	0	Cyprus	40
298	1	Alaska	44
298	2	Multiracial_American	1
298	3	Hellenistic_period	73
298	4	Cyprus	4
